"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"2",28,90,10,"substate_estimates/site_2",2023-04-01
"2",28,90,10,"substate_estimates/site_2",2022-12-23
"2",28,90,10,"substate_estimates/site_2",2023-03-12
"2",28,90,10,"substate_estimates/site_2",2022-11-05
"2",28,90,10,"substate_estimates/site_2",2023-01-28
"2",28,90,10,"substate_estimates/site_2",2023-03-22
"2",28,90,10,"substate_estimates/site_2",2022-11-23
"2",28,90,10,"substate_estimates/site_2",2022-12-27
"2",28,90,10,"substate_estimates/site_2",2023-02-27
"2",28,90,10,"substate_estimates/site_2",2022-12-26
