"sites","forecast_horizon","calibration_time","repeats","savename","random_dates"
"1;7;22",28,90,10,"three_site_go",2023-01-08
"1;7;22",28,90,10,"three_site_go",2023-04-17
"1;7;22",28,90,10,"three_site_go",2023-03-10
"1;7;22",28,90,10,"three_site_go",2023-04-12
"1;7;22",28,90,10,"three_site_go",2022-12-14
"1;7;22",28,90,10,"three_site_go",2022-11-15
"1;7;22",28,90,10,"three_site_go",2022-12-22
"1;7;22",28,90,10,"three_site_go",2023-01-25
"1;7;22",28,90,10,"three_site_go",2022-11-22
"1;7;22",28,90,10,"three_site_go",2023-02-15
